20601	238 Cases
20602	243 Cases
20603	284 Cases
20607	104 Cases
20613	150 Cases
20616	48 Cases
20619	27 Cases
20621	10 Cases
20622	222 Cases
20623	30 Cases
20624	8 Cases
20628	8 Cases
20634	39 Cases
20636	22 Cases
20637	32 Cases
20639	76 Cases
20640	49 Cases
20646	152 Cases
20650	26 Cases
20653	122 Cases
20657	66 Cases
20659	81 Cases
20662	18 Cases
20664	22 Cases
20675	10 Cases
20676	10 Cases
20677	11 Cases
20678	80 Cases
20685	20 Cases
20689	13 Cases
20695	81 Cases
20705	663 Cases
20706	1169 Cases
20707	639 Cases
20708	559 Cases
20710	261 Cases
20711	80 Cases
20712	217 Cases
20714	18 Cases
20715	214 Cases
20716	253 Cases
20720	244 Cases
20721	311 Cases
20722	212 Cases
20723	335 Cases
20724	325 Cases
20732	35 Cases
20733	15 Cases
20735	623 Cases
20736	35 Cases
20737	901 Cases
20740	349 Cases
20743	577 Cases
20744	687 Cases
20745	518 Cases
20746	385 Cases
20747	589 Cases
20748	548 Cases
20754	24 Cases
20755	11 Cases
20759	15 Cases
20763	33 Cases
20764	19 Cases
20769	122 Cases
20770	375 Cases
20772	499 Cases
20774	484 Cases
20776	17 Cases
20777	12 Cases
20778	8 Cases
20781	359 Cases
20782	1018 Cases
20783	2106 Cases
20784	1051 Cases
20785	769 Cases
20794	429 Cases
20814	226 Cases
20815	184 Cases
20816	58 Cases
20817	206 Cases
20832	159 Cases
20833	48 Cases
20837	27 Cases
20841	61 Cases
20850	502 Cases
20851	218 Cases
20852	356 Cases
20853	443 Cases
20854	284 Cases
20855	119 Cases
20860	70 Cases
20861	11 Cases
20866	153 Cases
20871	114 Cases
20872	112 Cases
20874	644 Cases
20876	312 Cases
20877	892 Cases
20878	408 Cases
20879	395 Cases
20882	83 Cases
20886	589 Cases
20895	172 Cases
20901	580 Cases
20902	1212 Cases
20903	887 Cases
20904	993 Cases
20905	182 Cases
20906	1517 Cases
20910	471 Cases
20912	438 Cases
21001	99 Cases
21009	109 Cases
21012	134 Cases
21014	171 Cases
21015	68 Cases
21017	22 Cases
21029	49 Cases
21030	241 Cases
21032	74 Cases
21034	13 Cases
21035	18 Cases
21036	13 Cases
21037	178 Cases
21040	150 Cases
21042	139 Cases
21043	319 Cases
21044	290 Cases
21045	410 Cases
21046	86 Cases
21047	29 Cases
21048	33 Cases
21050	165 Cases
21053	10 Cases
21054	112 Cases
21057	23 Cases
21060	341 Cases
21061	520 Cases
21074	42 Cases
21075	289 Cases
21076	149 Cases
21078	38 Cases
21084	27 Cases
21085	80 Cases
21087	15 Cases
21090	73 Cases
21093	174 Cases
21102	76 Cases
21104	15 Cases
21108	79 Cases
21111	9 Cases
21113	162 Cases
21114	121 Cases
21117	483 Cases
21122	281 Cases
21128	47 Cases
21131	16 Cases
21132	11 Cases
21133	468 Cases
21136	284 Cases
21144	222 Cases
21146	93 Cases
21152	17 Cases
21154	13 Cases
21157	223 Cases
21158	111 Cases
21161	14 Cases
21162	19 Cases
21163	25 Cases
21201	101 Cases
21202	228 Cases
21204	187 Cases
21205	219 Cases
21206	503 Cases
21207	621 Cases
21208	414 Cases
21209	146 Cases
21210	23 Cases
21211	77 Cases
21212	154 Cases
21213	295 Cases
21214	137 Cases
21215	760 Cases
21216	248 Cases
21217	289 Cases
21218	360 Cases
21219	41 Cases
21220	366 Cases
21221	343 Cases
21222	550 Cases
21223	295 Cases
21224	1108 Cases
21225	340 Cases
21226	38 Cases
21227	361 Cases
21228	648 Cases
21229	565 Cases
21230	250 Cases
21231	170 Cases
21234	519 Cases
21236	205 Cases
21237	352 Cases
21239	306 Cases
21244	438 Cases
21286	116 Cases
21401	455 Cases
21403	548 Cases
21409	72 Cases
21502	149 Cases
21532	25 Cases
21601	79 Cases
21607	12 Cases
21613	111 Cases
21617	44 Cases
21619	17 Cases
21620	120 Cases
21629	28 Cases
21631	8 Cases
21632	58 Cases
21635	11 Cases
21636	10 Cases
21638	14 Cases
21639	22 Cases
21640	24 Cases
21643	29 Cases
21649	108 Cases
21651	30 Cases
21655	23 Cases
21660	12 Cases
21661	13 Cases
21663	13 Cases
21666	29 Cases
21668	20 Cases
21678	18 Cases
21701	377 Cases
21702	657 Cases
21703	611 Cases
21704	116 Cases
21710	16 Cases
21713	87 Cases
21716	35 Cases
21722	14 Cases
21727	23 Cases
21737	8 Cases
21738	15 Cases
21740	241 Cases
21742	90 Cases
21750	14 Cases
21754	29 Cases
21755	33 Cases
21756	12 Cases
21757	37 Cases
21758	18 Cases
21769	25 Cases
21770	31 Cases
21771	235 Cases
21773	10 Cases
21774	61 Cases
21776	26 Cases
21777	10 Cases
21778	10 Cases
21782	13 Cases
21783	22 Cases
21784	218 Cases
21787	33 Cases
21788	40 Cases
21791	15 Cases
21793	75 Cases
21794	22 Cases
21795	25 Cases
21797	27 Cases
21798	8 Cases
21801	327 Cases
21804	509 Cases
21811	136 Cases
21813	15 Cases
21817	10 Cases
21822	13 Cases
21826	45 Cases
21830	14 Cases
21842	24 Cases
21849	12 Cases
21850	12 Cases
21851	62 Cases
21853	42 Cases
21863	32 Cases
21874	9 Cases
21875	27 Cases
21901	47 Cases
21903	12 Cases
21904	12 Cases
21911	136 Cases
21912	20 Cases
21918	15 Cases
21921	147 Cases
